model,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
us.amazon.nova-2-lite-v1:0,keyword_top_5,630,0.2015873015873016,5.395238095238096,2.2603174603174603,1.438095238095238,5.0,0.5608465608465608,0.0,7.080952380952381,5.968253968253968,2894.7396825396827,131.9904761904762,3026.7301587301586
us.amazon.nova-2-lite-v1:0,state_aware,630,0.0,6.0,4.007936507936508,0.0,28.34021164021164,1.0,0.0,48.72063492063492,34.26190476190476,14498.230158730159,138.91746031746032,14637.147619047619
us.amazon.nova-2-pro-preview-20251202-v1:0,all_tools,630,0.1,5.73015873015873,4.273015873015873,0.0,125.0,1.0,0.0,245.23174603174604,225.35555555555555,60139.346031746034,187.3111111111111,60326.65714285714
us.amazon.nova-2-pro-preview-20251202-v1:0,cmtf,630,0.7888888888888889,4.074603174603174,0.9238095238095239,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,1.1904761904761905,0.0,932.5952380952381,138.91904761904763,1071.5142857142857
us.amazon.nova-2-pro-preview-20251202-v1:0,full_causal_path,630,0.13174603174603175,5.6873015873015875,3.8873015873015873,0.0,27.750132275132273,1.0,0.0,48.68730158730159,34.57142857142857,14060.677777777777,159.75714285714287,14220.43492063492
us.amazon.nova-2-pro-preview-20251202-v1:0,keyword_top_10,630,0.06984126984126984,5.714285714285714,3.8380952380952382,0.3238095238095238,10.0,0.8030423280423281,0.0,15.16984126984127,12.8,5320.27619047619,173.83174603174604,5494.107936507937
us.amazon.nova-2-pro-preview-20251202-v1:0,keyword_top_5,630,0.05714285714285714,5.807936507936508,3.407936507936508,1.1,5.0,0.6544973544973545,0.0,7.87936507936508,6.33015873015873,3126.9333333333334,163.38571428571427,3290.3190476190475
us.amazon.nova-2-pro-preview-20251202-v1:0,state_aware,630,0.13174603174603175,5.703174603174603,3.8984126984126983,0.0,27.759470899470895,1.0,0.0,48.7,34.57142857142857,14070.096825396826,160.36825396825398,14230.46507936508
us.amazon.nova-premier-v1:0,all_tools,630,0.2650793650793651,4.817460317460317,2.5587301587301585,0.01746031746031746,125.0,1.0,0.0,185.48888888888888,165.78571428571428,53628.75555555556,126.24285714285715,53754.99841269841
us.amazon.nova-premier-v1:0,cmtf,630,0.7936507936507936,3.7063492063492065,0.9333333333333333,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,0.4,0.0,873.5412698412698,157.8936507936508,1031.4349206349207
us.amazon.nova-premier-v1:0,full_causal_path,630,0.009523809523809525,5.957142857142857,4.525396825396825,0.0,22.54148148148148,1.0,0.0,28.41269841269841,25.385714285714286,13028.888888888889,188.64285714285714,13217.531746031746
us.amazon.nova-premier-v1:0,keyword_top_10,630,0.14126984126984127,5.3238095238095235,3.3047619047619046,0.08095238095238096,10.0,0.703042328042328,0.0,14.63968253968254,12.019047619047619,5482.98253968254,142.9920634920635,5625.9746031746035
us.amazon.nova-premier-v1:0,keyword_top_5,630,0.1111111111111111,5.788888888888889,4.163492063492064,0.06825396825396825,5.0,0.6198941798941799,0.0,7.920634920634921,6.147619047619048,3403.326984126984,198.5984126984127,3601.925396825397
us.amazon.nova-premier-v1:0,state_aware,630,0.007936507936507936,5.926984126984127,4.5095238095238095,0.0,22.299365079365078,0.9984126984126984,0.0015873015873015873,24.67936507936508,19.993650793650794,12623.803174603174,182.0968253968254,12805.9
us.anthropic.claude-haiku-4-5-20251001-v1:0,all_tools,630,0.2984126984126984,5.4222222222222225,2.861904761904762,0.09047619047619047,125.0,1.0,0.0,230.22063492063492,207.6015873015873,60083.1126984127,497.66984126984124,60580.78253968254
us.anthropic.claude-haiku-4-5-20251001-v1:0,cmtf,630,0.9888888888888889,3.466666666666667,0.11587301587301588,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,0.5904761904761905,0.0,709.7206349206349,191.98253968253968,901.7031746031746
us.anthropic.claude-haiku-4-5-20251001-v1:0,full_causal_path,630,0.3238095238095238,5.153968253968254,2.888888888888889,0.0,29.512328042328043,1.0,0.0,50.407936507936505,24.12857142857143,15145.97619047619,288.45714285714286,15434.433333333332
us.anthropic.claude-haiku-4-5-20251001-v1:0,keyword_top_10,630,0.3238095238095238,5.177777777777778,2.6952380952380954,0.5301587301587302,10.0,0.70005291005291,0.0,14.022222222222222,12.212698412698412,5027.384126984127,300.42539682539683,5327.809523809524
us.anthropic.claude-haiku-4-5-20251001-v1:0,keyword_top_5,630,0.3523809523809524,4.992063492063492,1.9873015873015873,1.2476190476190476,5.0,0.5487830687830688,0.0,6.696825396825397,6.1380952380952385,2716.736507936508,302.968253968254,3019.704761904762
us.anthropic.claude-haiku-4-5-20251001-v1:0,state_aware,630,0.32063492063492066,5.174603174603175,2.907936507936508,0.0,29.79367724867725,1.0,0.0,54.68730158730159,25.142857142857142,15374.871428571429,296.27460317460316,15671.146031746031
us.anthropic.claude-opus-4-8,all_tools,630,0.8047619047619048,3.8666666666666667,0.7666666666666667,0.0746031746031746,123.01587301587301,0.9920634920634921,0.007936507936507936,189.63174603174602,162.71428571428572,61045.38253968254,174.9,61220.28253968254
us.anthropic.claude-opus-4-8,cmtf,630,0.9904761904761905,3.3523809523809525,0.0,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,0.5904761904761905,0.0,957.5428571428571,133.44285714285715,1090.9857142857143
us.anthropic.claude-opus-4-8,full_causal_path,630,0.953968253968254,3.5428571428571427,0.19523809523809524,0.0,26.965687830687827,1.0,0.0,41.853968253968254,23.846031746031745,13264.444444444445,143.8825396825397,13408.326984126985
us.anthropic.claude-opus-4-8,keyword_top_10,630,0.6460317460317461,4.014285714285714,0.9841269841269841,0.38412698412698415,10.0,0.6441534391534391,0.0,11.785714285714286,10.320634920634921,5407.285714285715,224.4206349206349,5631.706349206349
us.anthropic.claude-opus-4-8,keyword_top_5,630,0.5523809523809524,3.8476190476190477,0.6444444444444445,1.03015873015873,5.0,0.5556084656084656,0.0,5.698412698412699,5.146031746031746,2898.152380952381,209.45079365079366,3107.6031746031745
us.anthropic.claude-opus-4-8,state_aware,630,0.9603174603174603,3.5428571428571427,0.19682539682539682,0.0,26.907566137566135,1.0,0.0,42.43174603174603,26.2,13404.268253968254,143.18412698412698,13547.452380952382
us.anthropic.claude-sonnet-4-6,all_tools,630,0.44603174603174606,4.698412698412699,2.4603174603174605,0.0,125.0,1.0,0.0,189.52857142857144,177.97142857142856,50096.385714285716,153.55714285714285,50249.94285714286
us.anthropic.claude-sonnet-4-6,cmtf,630,0.6698412698412698,4.03015873015873,0.9984126984126984,0.0,0.9904761904761905,0.9904761904761905,0.009523809523809525,0.7793650793650794,0.0,831.9047619047619,218.45238095238096,1050.357142857143
us.anthropic.claude-sonnet-4-6,full_causal_path,630,0.24603174603174602,5.277777777777778,3.5793650793650795,0.0,23.690714285714286,1.0,0.0,32.96031746031746,29.293650793650794,11204.387301587301,160.92380952380952,11365.31111111111
us.anthropic.claude-sonnet-4-6,keyword_top_10,630,0.35714285714285715,5.050793650793651,2.9063492063492062,0.2857142857142857,10.0,0.7105820105820106,0.0,14.123809523809523,13.247619047619047,4908.14126984127,217.07619047619048,5125.21746031746
us.anthropic.claude-sonnet-4-6,keyword_top_5,630,0.19682539682539682,5.5,4.393650793650794,0.11746031746031746,5.0,0.6392592592592593,0.0,7.285714285714286,6.8920634920634924,2980.2380952380954,363.65555555555557,3343.893650793651
us.anthropic.claude-sonnet-4-6,state_aware,630,0.2396825396825397,5.295238095238095,3.6063492063492064,0.0,23.753306878306876,1.0,0.0,34.646031746031746,30.979365079365078,11426.685714285713,161.32380952380953,11588.009523809524
